epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1003,1.18466,2.77911,1.19446,0.73635,0.76935,0.8414,0.56441,1.11619,1.51871,1.10574,9.60784e-05,9.60784e-05,9.60784e-05
2,79.1114,1.06349,0.93124,1.09837,0.9095,0.9128,0.96181,0.67011,1.02176,0.74032,1.07656,0.000192157,0.000192157,0.000192157
3,112.233,1.04796,0.76706,1.09033,0.9468,0.95219,0.96973,0.68454,0.99995,0.65482,1.08159,0.000286295,0.000286295,0.000286295
4,156.955,0.99972,0.6777,1.07425,0.93396,0.94475,0.97062,0.69721,0.96986,0.6144,1.0627,0.000285268,0.000285268,0.000285268
5,196.569,0.97268,0.6212,1.06024,0.91315,0.93019,0.94442,0.66445,0.99581,0.67631,1.08585,0.000282358,0.000282358,0.000282358
6,241.473,0.96698,0.61985,1.06149,0.95701,0.9612,0.97399,0.70515,0.94658,0.52944,1.05156,0.000279447,0.000279447,0.000279447
7,285.219,0.93116,0.57608,1.0403,0.95026,0.95927,0.97695,0.70631,0.94943,0.51908,1.05164,0.000276536,0.000276536,0.000276536
8,323.674,0.95439,0.57034,1.05126,0.93483,0.97197,0.97765,0.70815,0.94111,0.50381,1.04178,0.000273626,0.000273626,0.000273626
9,355.648,0.93754,0.55673,1.04316,0.93739,0.9722,0.976,0.70659,0.94478,0.48671,1.04886,0.000270715,0.000270715,0.000270715
10,393.846,0.9347,0.529,1.04713,0.95836,0.96277,0.97542,0.7125,0.9372,0.4899,1.0393,0.000267805,0.000267805,0.000267805
11,432.007,0.90051,0.51499,1.03197,0.97019,0.97736,0.98552,0.72427,0.90741,0.46605,1.02794,0.000264894,0.000264894,0.000264894
12,462.916,0.89943,0.50592,1.03109,0.9607,0.97782,0.98201,0.71659,0.93479,0.469,1.04975,0.000261983,0.000261983,0.000261983
13,500.059,0.91124,0.51404,1.03646,0.95592,0.9783,0.98212,0.71387,0.94666,0.4688,1.05176,0.000259073,0.000259073,0.000259073
14,530.622,0.89089,0.51199,1.03187,0.96483,0.98031,0.9857,0.72327,0.92384,0.44462,1.0391,0.000256162,0.000256162,0.000256162
15,561.883,0.89848,0.50248,1.02982,0.96778,0.96692,0.98502,0.73654,0.90458,0.42852,1.02136,0.000253252,0.000253252,0.000253252
