epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0752,1.20375,3.31994,1.21536,0.53308,0.63337,0.59853,0.41128,1.10226,4.27493,1.12709,7.35e-05,7.35e-05,7.35e-05
2,62.4045,1.06664,1.17823,1.09466,0.86884,0.87875,0.91455,0.61613,1.09694,0.95865,1.119,0.000148456,0.000148456,0.000148456
3,82.0359,1.0258,0.80232,1.0752,0.88894,0.91099,0.95207,0.66285,1.0312,0.76839,1.08689,0.000221898,0.000221898,0.000221898
4,100.465,0.99361,0.71897,1.0708,0.90698,0.94533,0.97007,0.68029,0.99797,0.66048,1.09464,0.000285268,0.000285268,0.000285268
5,118.942,0.98182,0.67308,1.06637,0.91479,0.93714,0.96479,0.68363,1.00384,0.6277,1.09128,0.000282358,0.000282358,0.000282358
6,141.07,0.95214,0.6214,1.05977,0.94028,0.96129,0.9714,0.68655,1.0084,0.55336,1.10155,0.000279447,0.000279447,0.000279447
7,161.154,0.94654,0.58826,1.05864,0.94524,0.96973,0.97741,0.69865,0.99503,0.54492,1.09022,0.000276536,0.000276536,0.000276536
8,181.082,0.93279,0.56078,1.04936,0.96348,0.97838,0.98571,0.71531,0.96002,0.51341,1.07174,0.000273626,0.000273626,0.000273626
9,200.093,0.92789,0.54637,1.0473,0.97313,0.96406,0.9862,0.71633,0.94945,0.50327,1.06531,0.000270715,0.000270715,0.000270715
10,219.592,0.89826,0.52084,1.03333,0.97137,0.97047,0.98522,0.71884,0.96526,0.50022,1.07428,0.000267805,0.000267805,0.000267805
11,241.463,0.88896,0.50988,1.02901,0.96028,0.97806,0.98502,0.71681,0.94357,0.48516,1.07203,0.000264894,0.000264894,0.000264894
12,260.972,0.89338,0.5134,1.03462,0.9718,0.97145,0.98607,0.71343,0.98493,0.49375,1.07963,0.000261983,0.000261983,0.000261983
