epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1521,1.33077,4.76492,1.25448,0,0,0,0,1.22837,4.73555,1.10644,1.764e-05,1.764e-05,1.764e-05
2,57.2433,1.24068,4.68099,1.18727,0,0,0,0,1.14198,4.61677,1.02409,3.78416e-05,3.78416e-05,3.78416e-05
3,65.0704,1.14638,4.50614,1.09345,0,0,0,0,1.12275,4.48007,0.97418,5.76358e-05,5.76358e-05,5.76358e-05
4,73.5959,1.1146,4.30486,1.05879,0,0,0,0,1.07772,4.42307,0.9571,7.70224e-05,7.70224e-05,7.70224e-05
5,81.8213,1.07021,4.10702,1.03133,0,0,0,0,1.08988,4.38707,0.94653,9.60016e-05,9.60016e-05,9.60016e-05
6,90.1823,1.07337,3.93017,1.04017,0.07222,0.01051,0.0096,0.0073,1.02514,4.35374,0.93263,0.000114573,0.000114573,0.000114573
7,99.5364,1.09473,3.69634,1.04879,0.1458,0.12368,0.09534,0.07316,1.00786,4.27909,0.93202,0.000132737,0.000132737,0.000132737
8,108.29,1.09387,3.42831,1.04607,0.2715,0.28919,0.21325,0.15656,1.02372,4.21549,0.93911,0.000150494,0.000150494,0.000150494
9,117.775,1.10822,3.00501,1.06752,0.25028,0.45122,0.33598,0.24427,1.02219,4.13355,0.94558,0.000167843,0.000167843,0.000167843
10,125.836,1.11879,2.59719,1.07725,0.1734,0.62644,0.43479,0.3085,1.02687,4.03406,0.97094,0.000184785,0.000184785,0.000184785
11,135.422,1.12192,2.17127,1.08554,0.13712,0.70196,0.48803,0.34191,1.04605,3.81424,0.98331,0.000201319,0.000201319,0.000201319
12,143.629,1.098,1.84471,1.07632,0.12807,0.7964,0.6009,0.42286,1.0404,3.53312,0.98887,0.000217446,0.000217446,0.000217446
13,154.109,1.09629,1.58463,1.09265,0.96032,0.35611,0.72898,0.49391,1.09811,3.1504,1.02761,0.000233166,0.000233166,0.000233166
14,163.871,1.08334,1.35999,1.09188,0.97671,0.36383,0.81351,0.56765,1.03881,2.72683,1.03171,0.000248477,0.000248477,0.000248477
15,174.247,1.06241,1.22059,1.07115,0.93266,0.53701,0.88936,0.61991,1.04658,2.3093,1.03824,0.000253252,0.000253252,0.000253252
16,184.723,1.02394,1.12412,1.06315,0.93527,0.6202,0.91303,0.63833,1.03314,1.98331,1.04457,0.000250341,0.000250341,0.000250341
17,194.19,1.01199,1.03823,1.05375,0.91355,0.67281,0.9176,0.64374,1.01384,1.78675,1.03277,0.00024743,0.00024743,0.00024743
18,203.189,1.00755,0.99183,1.0504,0.94525,0.77669,0.93297,0.65966,0.99773,1.50253,1.03147,0.00024452,0.00024452,0.00024452
19,211.197,0.98431,0.97063,1.04354,0.90769,0.82934,0.92953,0.64712,1.03708,1.39197,1.05064,0.000241609,0.000241609,0.000241609
20,222.077,0.98282,0.91852,1.03692,0.89465,0.84709,0.93397,0.64223,1.04061,1.29861,1.05018,0.000238699,0.000238699,0.000238699
21,230.525,0.96582,0.88113,1.02555,0.91994,0.91544,0.95777,0.67208,1.00743,1.10108,1.04287,0.000235788,0.000235788,0.000235788
22,239.69,0.95518,0.85589,1.02935,0.93686,0.93368,0.96757,0.6759,0.98689,1.01219,1.03501,0.000232877,0.000232877,0.000232877
23,248.29,0.96143,0.84061,1.02971,0.94877,0.94421,0.97664,0.69799,0.97321,0.95554,1.02666,0.000229967,0.000229967,0.000229967
24,258.663,0.94191,0.81663,1.02205,0.94724,0.94667,0.97778,0.70386,0.95389,0.94156,1.02578,0.000227056,0.000227056,0.000227056
25,267.691,0.93698,0.82953,1.01905,0.9429,0.95214,0.97269,0.68119,0.99959,0.87936,1.0435,0.000224146,0.000224146,0.000224146
26,275.503,0.92976,0.80771,1.01409,0.95577,0.95627,0.97832,0.69349,0.96931,0.84405,1.02434,0.000221235,0.000221235,0.000221235
27,284.921,0.92653,0.78387,1.01205,0.95131,0.96951,0.98018,0.69791,0.97237,0.80098,1.03471,0.000218324,0.000218324,0.000218324
28,292.812,0.93568,0.79479,1.01175,0.95561,0.96611,0.98386,0.69795,0.96264,0.77578,1.03177,0.000215414,0.000215414,0.000215414
29,302.135,0.91819,0.76987,1.00677,0.96734,0.95276,0.98344,0.7072,0.94701,0.76453,1.01454,0.000212503,0.000212503,0.000212503
30,310.911,0.92424,0.77919,1.01331,0.95543,0.97219,0.98373,0.70291,0.94454,0.74003,1.0209,0.000209593,0.000209593,0.000209593
31,320.864,0.91367,0.75563,1.00715,0.95933,0.95602,0.98225,0.70525,0.94571,0.73291,1.01212,0.000206682,0.000206682,0.000206682
32,328.833,0.8931,0.7549,1.00036,0.94394,0.96291,0.98045,0.71505,0.91441,0.72811,1.00269,0.000203771,0.000203771,0.000203771
33,338.783,0.91228,0.75203,1.00464,0.96187,0.96874,0.98507,0.72111,0.91596,0.72828,1.00221,0.000200861,0.000200861,0.000200861
34,349.381,0.90014,0.74281,1.00381,0.96137,0.96675,0.98437,0.71408,0.93383,0.72615,1.02097,0.00019795,0.00019795,0.00019795
35,359.007,0.88429,0.73267,0.99332,0.95997,0.97163,0.98622,0.71927,0.91841,0.71246,1.00963,0.00019504,0.00019504,0.00019504
36,368.673,0.89174,0.74036,0.99859,0.96946,0.96201,0.98429,0.71225,0.92994,0.73837,1.01738,0.000192129,0.000192129,0.000192129
37,377.46,0.8868,0.72433,0.99221,0.96636,0.97053,0.98712,0.71306,0.9345,0.69628,1.01489,0.000189218,0.000189218,0.000189218
38,386.181,0.88012,0.72467,0.99688,0.97299,0.97748,0.98933,0.71797,0.93424,0.69025,1.01129,0.000186308,0.000186308,0.000186308
39,396.146,0.88389,0.72143,0.9945,0.96699,0.98353,0.98804,0.72378,0.91707,0.66594,1.00505,0.000183397,0.000183397,0.000183397
40,405.13,0.88702,0.7079,1.00005,0.96938,0.98188,0.98888,0.72567,0.90836,0.67207,1.00472,0.000180487,0.000180487,0.000180487
41,414.812,0.868,0.7034,0.99842,0.97381,0.97862,0.98851,0.70046,0.99601,0.69332,1.0695,0.000177576,0.000177576,0.000177576
42,423.091,0.86458,0.69976,0.99089,0.9629,0.96856,0.98412,0.70643,0.97184,0.70364,1.05165,0.000174665,0.000174665,0.000174665
43,430.974,0.87437,0.6829,0.99567,0.9639,0.97735,0.98808,0.69391,1.01338,0.70232,1.07547,0.000171755,0.000171755,0.000171755
44,440.558,0.85013,0.67074,0.98614,0.97029,0.98229,0.98917,0.70631,0.97087,0.69464,1.04877,0.000168844,0.000168844,0.000168844
45,450.559,0.86113,0.68937,0.99378,0.97687,0.98263,0.98771,0.72281,0.90677,0.64906,1.00227,0.000165934,0.000165934,0.000165934
46,458.898,0.85494,0.66395,0.98657,0.96577,0.98049,0.98626,0.71974,0.91771,0.65673,1.003,0.000163023,0.000163023,0.000163023
47,467.488,0.84553,0.66951,0.9862,0.97083,0.97743,0.98602,0.71853,0.92615,0.64411,1.01998,0.000160112,0.000160112,0.000160112
48,475.492,0.83821,0.66812,0.98235,0.96982,0.97323,0.98578,0.72032,0.91649,0.6435,1.01329,0.000157202,0.000157202,0.000157202
49,484.075,0.84182,0.65524,0.98522,0.95907,0.98224,0.98633,0.72257,0.89736,0.63065,1.01394,0.000154291,0.000154291,0.000154291
50,492.573,0.84335,0.65042,0.98635,0.97715,0.97496,0.98742,0.72951,0.89958,0.63473,0.99966,0.000151381,0.000151381,0.000151381
51,500.862,0.83386,0.65513,0.98257,0.9785,0.98304,0.98876,0.72814,0.90952,0.62061,1.01134,0.00014847,0.00014847,0.00014847
52,510.858,0.8433,0.64512,0.98629,0.97775,0.98397,0.98784,0.72345,0.918,0.61551,1.00981,0.000145559,0.000145559,0.000145559
53,520.514,0.84976,0.66279,0.99073,0.96966,0.9885,0.98969,0.71693,0.94732,0.62281,1.02635,0.000142649,0.000142649,0.000142649
54,528.764,0.82361,0.63471,0.97727,0.97402,0.97796,0.98984,0.72653,0.92326,0.62188,1.0104,0.000139738,0.000139738,0.000139738
55,538.253,0.82442,0.63289,0.97703,0.98044,0.98055,0.98985,0.72792,0.90882,0.60974,1.00762,0.000136828,0.000136828,0.000136828
56,546.12,0.84305,0.64136,0.98038,0.97866,0.97848,0.98733,0.7249,0.92167,0.61242,1.016,0.000133917,0.000133917,0.000133917
57,556.094,0.82411,0.63397,0.98333,0.97468,0.98073,0.98798,0.73131,0.89571,0.59878,1.01089,0.000131006,0.000131006,0.000131006
58,564.405,0.82937,0.63353,0.98161,0.97679,0.97903,0.98618,0.72674,0.91,0.60262,1.01216,0.000128096,0.000128096,0.000128096
59,573.018,0.82523,0.62164,0.98308,0.97502,0.98045,0.98677,0.73252,0.89879,0.59967,1.00601,0.000125185,0.000125185,0.000125185
60,582.852,0.82859,0.63725,0.97943,0.98108,0.98096,0.98843,0.73007,0.89814,0.60193,1.01125,0.000122275,0.000122275,0.000122275
61,593.939,0.81735,0.62255,0.98002,0.98034,0.9836,0.98709,0.72757,0.91745,0.6019,1.0146,0.000119364,0.000119364,0.000119364
62,602.571,0.79417,0.60633,0.9705,0.98165,0.98255,0.98817,0.73597,0.90653,0.59237,1.00538,0.000116453,0.000116453,0.000116453
63,612.13,0.80359,0.61198,0.96945,0.97849,0.9862,0.98677,0.72889,0.92347,0.59919,1.01534,0.000113543,0.000113543,0.000113543
64,620.82,0.80082,0.61449,0.97062,0.97617,0.98245,0.98668,0.73521,0.90401,0.59193,1.00578,0.000110632,0.000110632,0.000110632
65,629.831,0.80599,0.61283,0.97209,0.97882,0.98133,0.98893,0.73489,0.90579,0.59185,1.00949,0.000107722,0.000107722,0.000107722
66,638.364,0.80022,0.61593,0.97039,0.97801,0.98503,0.99012,0.73486,0.91193,0.59201,1.00824,0.000104811,0.000104811,0.000104811
67,647.602,0.79031,0.60051,0.97072,0.98003,0.98559,0.98849,0.73682,0.89722,0.58029,1.00471,0.0001019,0.0001019,0.0001019
68,658.323,0.80459,0.61063,0.97305,0.97921,0.98814,0.98855,0.73633,0.895,0.57863,1.00534,9.89898e-05,9.89898e-05,9.89898e-05
69,666.729,0.78553,0.59624,0.96532,0.97754,0.988,0.98862,0.73299,0.9003,0.57693,1.0054,9.60792e-05,9.60792e-05,9.60792e-05
70,676.592,0.79446,0.59384,0.96892,0.98315,0.98786,0.99064,0.73822,0.89785,0.57446,1.00028,9.31686e-05,9.31686e-05,9.31686e-05
71,685.563,0.79634,0.61262,0.96476,0.98464,0.98729,0.98938,0.7355,0.90522,0.57409,0.99874,9.0258e-05,9.0258e-05,9.0258e-05
72,694.321,0.7802,0.59176,0.96643,0.98541,0.98265,0.98872,0.73782,0.88632,0.56638,1.00079,8.73474e-05,8.73474e-05,8.73474e-05
73,703.303,0.78278,0.59091,0.96875,0.98311,0.98166,0.98777,0.73787,0.88756,0.56615,1.00458,8.44368e-05,8.44368e-05,8.44368e-05
74,712.479,0.79091,0.59513,0.97132,0.98278,0.9834,0.98972,0.74032,0.88512,0.57258,0.99837,8.15262e-05,8.15262e-05,8.15262e-05
75,722.375,0.76873,0.5908,0.96321,0.98269,0.98658,0.98959,0.73295,0.899,0.56778,1.00163,7.86156e-05,7.86156e-05,7.86156e-05
76,732.307,0.77952,0.58554,0.96451,0.98099,0.98972,0.98845,0.74112,0.88065,0.56029,0.99742,7.5705e-05,7.5705e-05,7.5705e-05
77,741.613,0.77483,0.58253,0.96374,0.97991,0.98311,0.9868,0.7421,0.87785,0.55898,0.99608,7.27944e-05,7.27944e-05,7.27944e-05
78,750.537,0.78211,0.58243,0.96874,0.98195,0.98946,0.98907,0.73587,0.89463,0.56499,1.00538,6.98838e-05,6.98838e-05,6.98838e-05
79,758.684,0.77378,0.58265,0.96571,0.98323,0.9882,0.98934,0.73919,0.88338,0.56005,0.9983,6.69732e-05,6.69732e-05,6.69732e-05
80,768.654,0.77493,0.5836,0.96257,0.9827,0.98784,0.9883,0.74132,0.88362,0.55714,0.99855,6.40626e-05,6.40626e-05,6.40626e-05
81,776.686,0.75663,0.56994,0.95534,0.98634,0.98968,0.98902,0.74248,0.87814,0.55196,0.99833,6.1152e-05,6.1152e-05,6.1152e-05
82,785.307,0.76523,0.57852,0.95955,0.9838,0.98672,0.98748,0.73838,0.88172,0.55335,1.00022,5.82414e-05,5.82414e-05,5.82414e-05
83,794.111,0.75526,0.57758,0.95557,0.98141,0.98647,0.98848,0.73789,0.88889,0.56146,1.00227,5.53308e-05,5.53308e-05,5.53308e-05
