epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3029,1.34563,4.78061,1.27968,0.0358,0.25933,0.03036,0.01955,1.23264,4.48312,1.1293,3.528e-05,3.528e-05,3.528e-05
2,55.1536,1.18684,3.0443,1.15211,0.46712,0.51417,0.49129,0.32248,1.13506,3.41858,1.1079,7.27723e-05,7.27723e-05,7.27723e-05
3,66.8135,1.09458,1.59068,1.09328,0.77684,0.72274,0.79217,0.51959,1.14012,1.56721,1.0875,0.000109508,0.000109508,0.000109508
4,81.3909,1.05335,1.07617,1.07146,0.84231,0.86828,0.90463,0.62469,1.05128,0.99472,1.06838,0.000145487,0.000145487,0.000145487
5,106.698,1.0011,0.86174,1.04824,0.87346,0.91585,0.93826,0.65296,1.04718,0.8463,1.06873,0.000180709,0.000180709,0.000180709
6,118.412,1.00028,0.80211,1.0557,0.93603,0.94339,0.9697,0.6839,0.99956,0.71706,1.05211,0.000215174,0.000215174,0.000215174
7,134.41,0.97296,0.7357,1.03962,0.91703,0.94844,0.96699,0.69298,0.96293,0.69048,1.05572,0.000248883,0.000248883,0.000248883
8,152.152,0.96221,0.69425,1.04286,0.9341,0.94216,0.97255,0.67764,1.01588,0.64047,1.06765,0.000273626,0.000273626,0.000273626
9,171.227,0.95867,0.66917,1.0485,0.91609,0.96403,0.97093,0.69599,0.95927,0.64,1.05795,0.000270715,0.000270715,0.000270715
10,182.341,0.93759,0.63211,1.03916,0.94561,0.96676,0.97682,0.71132,0.94936,0.59374,1.05616,0.000267805,0.000267805,0.000267805
11,193.453,0.91951,0.61328,1.03193,0.94872,0.97318,0.98039,0.71342,0.93968,0.56929,1.05127,0.000264894,0.000264894,0.000264894
12,206.617,0.91816,0.58631,1.03306,0.94076,0.96227,0.97614,0.70976,0.95178,0.56081,1.04212,0.000261983,0.000261983,0.000261983
13,220.898,0.92909,0.5845,1.03039,0.95775,0.95725,0.98471,0.71202,0.94494,0.55561,1.05302,0.000259073,0.000259073,0.000259073
14,237.053,0.8865,0.55335,1.02513,0.95798,0.96829,0.98116,0.72221,0.9313,0.52536,1.04041,0.000256162,0.000256162,0.000256162
15,250.024,0.90585,0.55616,1.02742,0.96768,0.97823,0.98308,0.71177,0.9502,0.51192,1.07237,0.000253252,0.000253252,0.000253252
