ingredient,substitution
apple,pear
apple,peach
apple,apricot
apple,plum
apple,cherry
banana,avocado
banana,mango
banana,peach
banana,pear
banana,pumpkin
beef,pork
beef,lamb
beef,veal
beef,turkey
beef,sausage
blueberry,cherry
blueberry,raspberry
blueberry,blackberry
blueberry,cranberry
blueberry,grape
bread,tortilla
bread,cracker
bread,roll
bread,bun
bread,biscuit
butter,margarine
butter,oil
butter,shortening
butter,lard
butter,cream
carrot,celery
carrot,zucchini
carrot,pumpkin
carrot,squash
carrot,parsnip
cheese,cheddar
cheese,mozzarella
cheese,parmesan
cheese,ricotta
cheese,feta
chicken,turkey
chicken,pork
chicken,duck
chicken,sausage
chicken,veal
chicken_breast,pork_chop
chicken_breast,turkey
chicken_breast,tofu
chicken_breast,veal
chicken_breast,steak
chocolate,cocoa
chocolate,caramel
chocolate,vanilla_extract
chocolate,coffee
chocolate,honey
corn,pea
corn,bean
corn,chickpea
corn,rice
corn,celery
egg,tofu
egg,mayonnaise
egg,yogurt
egg,applesauce
egg,banana
flour,cornstarch
flour,cornmeal
flour,oatmeal
flour,rice
flour,biscuit_mix
goat_cheese,feta
goat_cheese,ricotta
goat_cheese,mozzarella
goat_cheese,parmesan
goat_cheese,yogurt
green_bean,broccoli
green_bean,pea
green_bean,zucchini
green_bean,cabbage
green_bean,celery
ground_beef,sausage
ground_beef,turkey
ground_beef,pork
ground_beef,mushroom
ground_beef,tofu
ham,bacon
ham,sausage
ham,prosciutto
ham,salami
ham,turkey
heavy_cream,yogurt
heavy_cream,buttermilk
heavy_cream,coconut_milk
heavy_cream,mayonnaise
heavy_cream,mascarpone
lime,lemon
lime,vinegar
lime,orange
lime,grapefruit
lime,white_wine
milk,water
milk,yogurt
milk,buttermilk
milk,soymilk
milk,juice
mushroom,zucchini
mushroom,eggplant
mushroom,tofu
mushroom,olive
mushroom,celery
onion,shallot
onion,leek
onion,scallion
onion,chive
onion,garlic
potato,zucchini
potato,cauliflower
potato,squash
potato,pumpkin
potato,rice
shrimp,crab
shrimp,scallop
shrimp,salmon
shrimp,tuna
shrimp,fish
spinach,kale
spinach,cabbage
spinach,broccoli
spinach,lettuce
spinach,arugula
strawberry,raspberry
strawberry,cherry
strawberry,blackberry
strawberry,cranberry
strawberry,grape
sugar,honey
sugar,syrup
sugar,maple_syrup
sugar,caramel
sugar,applesauce
sweet_potato,pumpkin
sweet_potato,squash
sweet_potato,yam
sweet_potato,cauliflower
sweet_potato,zucchini
tomato,red_pepper
tomato,ketchup
tomato,zucchini
tomato,eggplant
tomato,salsa
